image,label,area,perimeter
./input_images/HD 11 INFECTED WITH AL_0004.jpg,1,2546327,21005.9133477211
./input_images/HD 11 INFECTED WITH AL_0004.jpg,2,2873958,44564.70103538036
./input_images/HD 11 INFECTED WITH AL_0004.jpg,3,1102,336.8771971464157
./input_images/HD 11 INFECTED WITH AL_0004.jpg,4,1065,405.54624342918396
./input_images/HD 11 INFECTED WITH AL_0004.jpg,5,3169,469.24472773075104
./input_images/HD 11 INFECTED WITH AL_0004.jpg,6,2502,586.3574260473251
./input_images/HD 11 INFECTED WITH AL_0004.jpg,7,1542,449.24472761154175
./input_images/HD 11 INFECTED WITH AL_0004.jpg,8,7075,807.4356328248978
./input_images/HD 11 INFECTED WITH AL_0004.jpg,9,5743,493.2447280883789
./input_images/HD 11 INFECTED WITH AL_0004.jpg,10,1864,305.9066346883774
./input_images/HD 11 INFECTED WITH AL_0004.jpg,11,3121,663.7127640247345
./input_images/HD 11 INFECTED WITH AL_0004.jpg,12,4097,550.7005714178085
./input_images/HD 11 INFECTED WITH AL_0004.jpg,13,1283,296.49242091178894
./input_images/HD 11 INFECTED WITH AL_0004.jpg,14,6278,935.2173773050308
./input_images/HD 11 INFECTED WITH AL_0004.jpg,15,1382,343.60511887073517
./input_images/HD 11 INFECTED WITH AL_0004.jpg,16,8335,1769.1139076948166
./input_images/HD 11 INFECTED WITH AL_0004.jpg,17,4595,1171.0996278524399
./input_images/HD 11 INFECTED WITH AL_0004.jpg,18,1073,308.7350616455078
./input_images/HD 11 INFECTED WITH AL_0004.jpg,19,1473,419.98989498615265
./input_images/HD 11 INFECTED WITH AL_0004.jpg,20,4212,1021.8864237070084
./input_images/HD 11 INFECTED WITH AL_0004.jpg,21,1156,349.4629830121994
./input_images/HD 11 INFECTED WITH AL_0004.jpg,22,7437,997.2173773050308
./input_images/HD 11 INFECTED WITH AL_0004.jpg,23,1208,329.8477598428726
./input_images/HD 11 INFECTED WITH AL_0004.jpg,24,1020,191.92387974262238
./input_images/HD 11 INFECTED WITH AL_0004.jpg,25,55706,4576.842161536217
./input_images/HD 11 INFECTED WITH AL_0004.jpg,26,2170,350.87719643116
./input_images/HD 11 INFECTED WITH AL_0004.jpg,27,1115,266.45079135894775
./input_images/HD 11 INFECTED WITH AL_0004.jpg,28,15154,2275.9982438087463
./input_images/HD 11 INFECTED WITH AL_0004.jpg,29,1132,244.55129647254944
./input_images/HD 11 INFECTED WITH AL_0004.jpg,30,5983,1840.9961559772491
./input_images/HD 11 INFECTED WITH AL_0004.jpg,31,3552,675.653888463974
./input_images/HD 11 INFECTED WITH AL_0004.jpg,32,3404,979.702657699585
./input_images/HD 11 INFECTED WITH AL_0004.jpg,33,1349,283.86500465869904
./input_images/HD 11 INFECTED WITH AL_0004.jpg,34,2680,979.2762528657913
./input_images/HD 11 INFECTED WITH AL_0004.jpg,35,1861,415.6467500925064
./input_images/HD 11 INFECTED WITH AL_0004.jpg,36,27699,4616.020872831345
./input_images/HD 11 INFECTED WITH AL_0004.jpg,37,3502,630.582820892334
./input_images/HD 11 INFECTED WITH AL_0004.jpg,38,2073,739.9381594657898
./input_images/HD 11 INFECTED WITH AL_0004.jpg,39,3761,393.01933217048645
./input_images/HD 11 INFECTED WITH AL_0004.jpg,40,15816,1907.096662402153
./input_images/HD 11 INFECTED WITH AL_0004.jpg,41,5809,1262.153449177742
./input_images/HD 11 INFECTED WITH AL_0004.jpg,42,1228,325.66399335861206
./input_images/HD 11 INFECTED WITH AL_0004.jpg,43,1254,378.67618680000305
./input_images/HD 11 INFECTED WITH AL_0004.jpg,44,3318,761.1097332239151
./input_images/HD 11 INFECTED WITH AL_0004.jpg,45,1852,515.0437171459198
./input_images/HD 11 INFECTED WITH AL_0004.jpg,46,1043,557.0020875930786
./input_images/HD 11 INFECTED WITH AL_0004.jpg,47,11124,1524.9301409721375
./input_images/HD 11 INFECTED WITH AL_0004.jpg,48,18066,2376.039874434471
./input_images/HD 11 INFECTED WITH AL_0004.jpg,49,1533,521.3868629932404
./input_images/HD 11 INFECTED WITH AL_0004.jpg,50,2307,672.3401808738708
./input_images/HD 11 INFECTED WITH AL_0004.jpg,51,9244,1613.2732874155045
./input_images/HD 11 INFECTED WITH AL_0004.jpg,52,1012,601.9554041624069
./input_images/HD 11 INFECTED WITH AL_0004.jpg,53,2019,336.7350620031357
./input_images/HD 11 INFECTED WITH AL_0004.jpg,54,1137,251.86500477790833
./input_images/HD 11 INFECTED WITH AL_0004.jpg,55,2430,641.1686072349548
./input_images/HD 11 INFECTED WITH AL_0004.jpg,56,1704,350.0487699508667
./input_images/HD 11 INFECTED WITH AL_0004.jpg,57,1489,713.0092270374298
./input_images/HD 11 INFECTED WITH AL_0004.jpg,58,1629,293.0782079696655
./input_images/HD 11 INFECTED WITH AL_0004.jpg,59,2327,588.1564149856567
./input_images/HD 11 INFECTED WITH AL_0004.jpg,60,1174,296.3502857685089
./input_images/HD 11 INFECTED WITH AL_0004.jpg,61,1246,680.7665863037109
./input_images/HD 11 INFECTED WITH AL_0004.jpg,62,2090,547.3868634700775
./input_images/HD 11 INFECTED WITH AL_0004.jpg,63,1310,313.2203426361084
